name,search term
Python,python (developer or "software engineer" or programmer)
Go,("go language" or "go lang" or golang or "go programming") (developer or "software engineer" or programmer)
Java,Java (developer or "software engineer" or programmer)
C#,C# (developer or "software engineer" or programmer)
Javascript,Javascript (developer or "software engineer" or programmer)
Ruby,Ruby (developer or "software engineer" or programmer)
Typescript,Typescript (developer or "software engineer" or programmer)
PHP,PHP (developer or "software engineer" or programmer)
Rust,Rust (developer or "software engineer" or programmer)
Kotlin,(Kotlin or "Android Native") (developer or "software engineer" or programmer)
C++,(C++ or C/C++) (developer or "software engineer" or programmer)
Swift,(Swift or "IOS native") (developer or "software engineer" or programmer)
Scala,Scala (developer or "software engineer" or programmer)